Latitude,Longitude,Comment,Depth,G&G-DO
1134.73264N,12229.35746E,1,1.084,5.926
1134.73264N,12229.35746E,1,1.086,5.937
1134.73264N,12229.35746E,1,1.09,5.94
1134.73264N,12229.35746E,1,1.09,5.944
1134.73264N,12229.35746E,1,1.092,5.947
1134.73264N,12229.35746E,1,1.092,5.945
1134.73264N,12229.35746E,1,1.095,5.952
1134.73264N,12229.35746E,1,1.099,5.958
1134.73264N,12229.35746E,1,1.104,5.957
1134.73264N,12229.35746E,1,1.109,5.96
1134.73264N,12229.35746E,1,1.113,5.957
1134.73264N,12229.35746E,1,1.118,5.958
1134.73264N,12229.35746E,1,1.121,5.955
1134.73264N,12229.35746E,1,1.123,5.961
1134.73264N,12229.35746E,1,1.123,5.964
1134.73264N,12229.35746E,1,1.125,5.963
1134.73264N,12229.35746E,1,1.127,5.962
1134.73264N,12229.35746E,1,1.127,5.962
1134.73264N,12229.35746E,1,1.13,5.964
1134.73264N,12229.35746E,1,1.135,5.96
1134.73264N,12229.35746E,1,1.141,5.968
1134.73264N,12229.35746E,1,1.147,5.973
1134.73264N,12229.35746E,1,1.151,5.974
1134.73264N,12229.35746E,1,1.153,5.967
1134.73264N,12229.35746E,1,1.155,5.965
1134.73264N,12229.35746E,1,1.155,5.966
1134.73264N,12229.35746E,1,1.153,5.964
1134.73264N,12229.35746E,1,1.152,5.967
1134.73264N,12229.35746E,1,1.15,5.971
1134.73264N,12229.35746E,1,1.149,5.974
1134.73264N,12229.35746E,1,1.15,5.974
1134.73264N,12229.35746E,1,1.15,5.971
1134.73264N,12229.35746E,1,1.154,5.972
1134.73264N,12229.35746E,1,1.16,5.972
1134.73264N,12229.35746E,1,1.163,5.968
1134.73264N,12229.35746E,1,1.165,5.972
1134.73264N,12229.35746E,1,1.166,5.971
1134.73264N,12229.35746E,1,1.165,5.971
1134.73264N,12229.35746E,1,1.164,5.973
1134.73264N,12229.35746E,1,1.164,5.973
1134.73264N,12229.35746E,1,1.163,5.969
1134.73264N,12229.35746E,1,1.164,5.97
1134.73264N,12229.35746E,1,1.164,5.976
1134.73264N,12229.35746E,1,1.166,5.972
1134.73264N,12229.35746E,1,1.167,5.967
1134.73264N,12229.35746E,1,1.167,5.969
1134.73264N,12229.35746E,1,1.17,5.972
1134.73264N,12229.35746E,1,1.173,5.971
1134.73264N,12229.35746E,1,1.176,5.973
1134.73264N,12229.35746E,1,1.181,5.969
1134.73264N,12229.35746E,1,1.186,5.969
1134.73264N,12229.35746E,1,1.19,5.971
1134.73264N,12229.35746E,1,1.195,5.969
1134.73264N,12229.35746E,1,1.194,5.975
1134.73264N,12229.35746E,1,1.193,5.969
1134.73264N,12229.35746E,1,1.192,5.972
1134.73264N,12229.35746E,1,1.189,5.973
1134.73264N,12229.35746E,1,1.19,5.971
1134.73264N,12229.35746E,1,1.187,5.967
1134.73264N,12229.35746E,1,1.186,5.968
1134.73264N,12229.35746E,1,1.184,5.971
