Latitude,Longitude,Comment,G&G-DO
1134.73264,12229.35746,1,5.725
1134.73264,12229.35746,1,5.728
1134.73264,12229.35746,1,5.729
1134.73264,12229.35746,1,5.737
1134.73264,12229.35746,1,5.736
1134.73264,12229.35746,1,5.737
1134.73264,12229.35746,1,5.741
1134.73264,12229.35746,1,5.739
1134.73264,12229.35746,1,5.737
1134.73264,12229.35746,1,5.742
1134.73264,12229.35746,1,5.741
1134.73264,12229.35746,1,5.745
1134.73264,12229.35746,1,5.746
1134.73264,12229.35746,1,5.749
1134.73264,12229.35746,1,5.749
1134.73264,12229.35746,1,5.748
1134.73264,12229.35746,1,5.748
1134.73264,12229.35746,1,5.756
1134.73264,12229.35746,1,5.754
1134.73264,12229.35746,1,5.758
1134.73264,12229.35746,1,5.759
1134.73264,12229.35746,1,5.758
1134.73264,12229.35746,1,5.761
1134.73264,12229.35746,1,5.767
1134.73264,12229.35746,1,5.763
1134.73264,12229.35746,1,5.766
1134.73264,12229.35746,1,5.768
1134.73264,12229.35746,1,5.764
1134.73264,12229.35746,1,5.767
1134.73264,12229.35746,1,5.766
1134.73264,12229.35746,1,5.768
1134.73264,12229.35746,1,5.767
1134.73264,12229.35746,1,5.766
1134.73264,12229.35746,1,5.768
1134.73264,12229.35746,1,5.771
1134.73264,12229.35746,1,5.77
1134.73264,12229.35746,1,5.77
1134.73264,12229.35746,1,5.771
1134.73264,12229.35746,1,5.771
1134.73264,12229.35746,1,5.771
1134.73264,12229.35746,1,5.772
1134.73264,12229.35746,1,5.773
1134.73264,12229.35746,1,5.776
1134.73264,12229.35746,1,5.777
1134.73264,12229.35746,1,5.778
1134.73264,12229.35746,1,5.778
1134.73264,12229.35746,1,5.78
1134.73264,12229.35746,1,5.78
1134.73264,12229.35746,1,5.785
1134.73264,12229.35746,1,5.789
1134.73264,12229.35746,1,5.788
1134.73264,12229.35746,1,5.788
1134.73264,12229.35746,1,5.787
1134.73264,12229.35746,1,5.787
1134.73264,12229.35746,1,5.789
1134.73264,12229.35746,1,5.787
1134.73264,12229.35746,1,5.788
1134.73264,12229.35746,1,5.788
1134.73264,12229.35746,1,5.793
1134.73264,12229.35746,1,5.794
1134.73264,12229.35746,1,5.79
1134.73264,12229.35746,1,5.792
1134.73264,12229.35746,1,5.797
1134.73264,12229.35746,1,5.795
1134.73264,12229.35746,1,5.798
1134.73264,12229.35746,1,5.797
1134.73264,12229.35746,1,5.797
1134.73264,12229.35746,1,5.799
1134.73264,12229.35746,1,5.8
1134.73264,12229.35746,1,5.806
1134.73264,12229.35746,1,5.807
1134.73264,12229.35746,1,5.801
1134.73264,12229.35746,1,5.808
1134.73264,12229.35746,1,5.805
1134.73264,12229.35746,1,5.806
1134.73264,12229.35746,1,5.808
1134.73264,12229.35746,1,5.803
1134.73264,12229.35746,1,5.808
1134.73264,12229.35746,1,5.812
1134.73264,12229.35746,1,5.812
1134.73264,12229.35746,1,5.819
1134.73264,12229.35746,1,5.819
1134.73264,12229.35746,1,5.818
1134.73264,12229.35746,1,5.82
1134.73264,12229.35746,1,5.815
1134.73264,12229.35746,1,5.812
1134.73264,12229.35746,1,5.813
1134.73264,12229.35746,1,5.809
1134.73264,12229.35746,1,5.811
1134.73264,12229.35746,1,5.808
1134.73264,12229.35746,1,5.802
