Latitude,Longitude,Comment,Temp. [degC],Depth [m]
1134.73264,12229.35746,1,30.879,1.064
1134.73264,12229.35746,1,30.878,1.065
1134.73264,12229.35746,1,30.876,1.067
1134.73264,12229.35746,1,30.874,1.068
1134.73264,12229.35746,1,30.873,1.069
1134.73264,12229.35746,1,30.875,1.072
1134.73264,12229.35746,1,30.881,1.074
1134.73264,12229.35746,1,30.883,1.074
1134.73264,12229.35746,1,30.876,1.075
1134.73264,12229.35746,1,30.876,1.076
1134.73264,12229.35746,1,30.883,1.077
1134.73264,12229.35746,1,30.888,1.076
1134.73264,12229.35746,1,30.891,1.078
1134.73264,12229.35746,1,30.891,1.081
1134.73264,12229.35746,1,30.888,1.084
1134.73264,12229.35746,1,30.892,1.086
1134.73264,12229.35746,1,30.895,1.09
1134.73264,12229.35746,1,30.897,1.09
1134.73264,12229.35746,1,30.896,1.092
1134.73264,12229.35746,1,30.897,1.092
1134.73264,12229.35746,1,30.898,1.095
1134.73264,12229.35746,1,30.897,1.099
1134.73264,12229.35746,1,30.898,1.104
1134.73264,12229.35746,1,30.9,1.109
1134.73264,12229.35746,1,30.901,1.113
1134.73264,12229.35746,1,30.902,1.118
1134.73264,12229.35746,1,30.904,1.121
1134.73264,12229.35746,1,30.908,1.123
1134.73264,12229.35746,1,30.907,1.123
1134.73264,12229.35746,1,30.905,1.125
1134.73264,12229.35746,1,30.907,1.127
1134.73264,12229.35746,1,30.907,1.127
1134.73264,12229.35746,1,30.907,1.13
1134.73264,12229.35746,1,30.911,1.135
1134.73264,12229.35746,1,30.914,1.141
1134.73264,12229.35746,1,30.917,1.147
1134.73264,12229.35746,1,30.919,1.151
1134.73264,12229.35746,1,30.92,1.153
1134.73264,12229.35746,1,30.921,1.155
1134.73264,12229.35746,1,30.92,1.155
1134.73264,12229.35746,1,30.919,1.153
1134.73264,12229.35746,1,30.92,1.152
1134.73264,12229.35746,1,30.919,1.15
1134.73264,12229.35746,1,30.919,1.149
1134.73264,12229.35746,1,30.918,1.15
1134.73264,12229.35746,1,30.916,1.15
1134.73264,12229.35746,1,30.915,1.154
1134.73264,12229.35746,1,30.913,1.16
1134.73264,12229.35746,1,30.915,1.163
1134.73264,12229.35746,1,30.915,1.165
1134.73264,12229.35746,1,30.915,1.166
1134.73264,12229.35746,1,30.914,1.165
1134.73264,12229.35746,1,30.913,1.164
1134.73264,12229.35746,1,30.913,1.164
1134.73264,12229.35746,1,30.912,1.163
1134.73264,12229.35746,1,30.912,1.164
1134.73264,12229.35746,1,30.912,1.164
1134.73264,12229.35746,1,30.911,1.166
1134.73264,12229.35746,1,30.91,1.167
1134.73264,12229.35746,1,30.911,1.167
1134.73264,12229.35746,1,30.914,1.17
1134.73264,12229.35746,1,30.915,1.173
1134.73264,12229.35746,1,30.914,1.176
