Latitude,Longitude,Comment,G&G-DO,Depth [m]
1134.73264,12229.35746,1,5.957,1.181
1134.73264,12229.35746,1,5.962,1.183
1134.73264,12229.35746,1,5.964,1.185
1134.73264,12229.35746,1,5.965,1.186
1134.73264,12229.35746,1,5.965,1.188
1134.73264,12229.35746,1,5.963,1.19
1134.73264,12229.35746,1,5.959,1.19
1134.73264,12229.35746,1,5.956,1.191
1134.73264,12229.35746,1,5.959,1.19
1134.73264,12229.35746,1,5.958,1.191
1134.73264,12229.35746,1,5.958,1.19
1134.73264,12229.35746,1,5.957,1.187
1134.73264,12229.35746,1,5.958,1.188
1134.73264,12229.35746,1,5.957,1.187
1134.73264,12229.35746,1,5.957,1.186
1134.73264,12229.35746,1,5.956,1.185
1134.73264,12229.35746,1,5.949,1.185
1134.73264,12229.35746,1,5.955,1.185
1134.73264,12229.35746,1,5.956,1.185
1134.73264,12229.35746,1,5.956,1.184
1134.73264,12229.35746,1,5.956,1.184
1134.73264,12229.35746,1,5.954,1.184
1134.73264,12229.35746,1,5.947,1.183
1134.73264,12229.35746,1,5.949,1.184
1134.73264,12229.35746,1,5.949,1.184
1134.73264,12229.35746,1,5.947,1.184
1134.73264,12229.35746,1,5.947,1.185
1134.73264,12229.35746,1,5.946,1.184
1134.73264,12229.35746,1,5.945,1.184
1134.73264,12229.35746,1,5.945,1.184
1134.73264,12229.35746,1,5.942,1.183
1134.73264,12229.35746,1,5.947,1.183
1134.73264,12229.35746,1,5.948,1.182
1134.73264,12229.35746,1,5.942,1.182
1134.73264,12229.35746,1,5.94,1.182
