Latitude,Longitude,Comment,Chl-a [µg/l],Depth [m]
1134.73264,12229.35746,1,5.98,1.113
1134.73264,12229.35746,1,6.115,1.118
1134.73264,12229.35746,1,6.08,1.121
1134.73264,12229.35746,1,5.816,1.123
1134.73264,12229.35746,1,5.588,1.123
1134.73264,12229.35746,1,5.787,1.125
1134.73264,12229.35746,1,6.187,1.127
1134.73264,12229.35746,1,6.187,1.127
1134.73264,12229.35746,1,6.457,1.13
1134.73264,12229.35746,1,6.8,1.135
1134.73264,12229.35746,1,6.892,1.141
1134.73264,12229.35746,1,7.213,1.147
1134.73264,12229.35746,1,7.22,1.151
1134.73264,12229.35746,1,6.921,1.153
1134.73264,12229.35746,1,7.398,1.155
1134.73264,12229.35746,1,7.256,1.155
1134.73264,12229.35746,1,7.02,1.153
1134.73264,12229.35746,1,7.17,1.152
1134.73264,12229.35746,1,6.971,1.15
1134.73264,12229.35746,1,7.348,1.149
1134.73264,12229.35746,1,7.555,1.15
1134.73264,12229.35746,1,7.27,1.15
1134.73264,12229.35746,1,7.077,1.154
1134.73264,12229.35746,1,6.956,1.16
1134.73264,12229.35746,1,7.434,1.163
1134.73264,12229.35746,1,7.676,1.165
1134.73264,12229.35746,1,7.84,1.166
1134.73264,12229.35746,1,7.733,1.165
1134.73264,12229.35746,1,7.213,1.164
1134.73264,12229.35746,1,7.134,1.164
1134.73264,12229.35746,1,7.277,1.163
1134.73264,12229.35746,1,7.263,1.164
1134.73264,12229.35746,1,6.721,1.164
1134.73264,12229.35746,1,7.263,1.166
1134.73264,12229.35746,1,7.206,1.167
1134.73264,12229.35746,1,7.519,1.167
1134.73264,12229.35746,1,7.641,1.17
1134.73264,12229.35746,1,7.348,1.173
1134.73264,12229.35746,1,7.562,1.176
1134.73264,12229.35746,1,7.256,1.181
1134.73264,12229.35746,1,7.17,1.186
1134.73264,12229.35746,1,7.163,1.19
1134.73264,12229.35746,1,6.828,1.195
1134.73264,12229.35746,1,6.742,1.194
1134.73264,12229.35746,1,6.842,1.193
1134.73264,12229.35746,1,6.935,1.192
1134.73264,12229.35746,1,7.192,1.189
1134.73264,12229.35746,1,7.284,1.19
1134.73264,12229.35746,1,6.892,1.187
1134.73264,12229.35746,1,7.063,1.186
1134.73264,12229.35746,1,7.648,1.184
1134.73264,12229.35746,1,7.605,1.184
1134.73264,12229.35746,1,6.942,1.184
1134.73264,12229.35746,1,6.5,1.184
1134.73264,12229.35746,1,6.678,1.183
1134.73264,12229.35746,1,6.849,1.183
1134.73264,12229.35746,1,7.306,1.181
1134.73264,12229.35746,1,7.84,1.181
1134.73264,12229.35746,1,8.182,1.18
1134.73264,12229.35746,1,7.79,1.177
1134.73264,12229.35746,1,6.942,1.177
1134.73264,12229.35746,1,6.792,1.175
1134.73264,12229.35746,1,6.899,1.175
1134.73264,12229.35746,1,6.707,1.176
1134.73264,12229.35746,1,6.985,1.176
1134.73264,12229.35746,1,7.085,1.179
1134.73264,12229.35746,1,6.963,1.18
